"Organization","City","State","Amount","Status","name"
"THE LATINO COALITION FOR COMMUNITY LEADERSHIP","BAKERSFIELD","CA","4200000","Prime Award","California"
"THE NATIONAL FLORENCE CRITTENTON MISSION","PORTLAND","OR","1e+06","Prime Award","Oregon"
"THE NATIONAL INSTITUTE FOR CRIMINAL JUSTICE REFORM","OAKLAND","CA","2e+06","Prime Award","California"
"THE NATIONAL INSTITUTE FOR CRIMINAL JUSTICE REFORM","OAKLAND","CA","2800000","Prime Award","California"
"THE NATIONAL INSTITUTE FOR CRIMINAL JUSTICE REFORM","OAKLAND","CA","250000","Prime Award","California"
"THE NATIONAL INSTITUTE FOR CRIMINAL JUSTICE REFORM","OAKLAND","CA","5e+05","Prime Award","California"
"THE NATIONAL JUDICIAL COLLEGE","RENO","NV","1900000","Prime Award","Nevada"
"THE NATIONAL JUDICIAL COLLEGE","RENO","NV","1e+06","Prime Award","Nevada"
"THE NC YOUTH VIOLENCE PREVENTION CENTER","LUMBERTON","NC","2e+06","Prime Award","North Carolina"
"THE OSBORNE ASSOCIATION, INC.","BRONX","NY","2e+06","Prime Award","New York"
"THE PENNSYLVANIA INNOCENCE PROJECT","PHILADELPHIA","PA","599990","Prime Award","Pennsylvania"
"THE RAND CORPORATION","SANTA MONICA","CA","996640","Prime Award","California"
"THE RAND CORPORATION","SANTA MONICA","CA","573536","Prime Award","California"
"THE RAND CORPORATION","SANTA MONICA","CA","749087","Prime Award","California"
"THE REVERENCE PROJECT","LOS ANGELES","CA","2e+06","Prime Award","California"
"THE SOULFISHER MINISTRIES","SAINT LOUIS","MO","4e+06","Prime Award","Missouri"
"THE URBAN INSTITUTE","WASHINGTON","DC","5e+06","Prime Award","District of Columbia"
"THE URBAN INSTITUTE","WASHINGTON","DC","3387500","Prime Award","District of Columbia"
"THE URBAN INSTITUTE","WASHINGTON","DC","1739447","Prime Award","District of Columbia"
"THE URBAN INSTITUTE","WASHINGTON","DC","995936","Prime Award","District of Columbia"
"THE URBAN INSTITUTE","WASHINGTON","DC","651522","Prime Award","District of Columbia"
"THE URBAN INSTITUTE","WASHINGTON","DC","365675","Prime Award","District of Columbia"
"THE URBAN INSTITUTE","WASHINGTON","DC","500136","Prime Award","District of Columbia"
"THE WORKING GROUP","OAKLAND","CA","5e+05","Prime Award","California"
"TOWNSHIP OF MONTCLAIR","MONTCLAIR","NJ","3e+05","Prime Award","New Jersey"
"TRINNAZ HELPING HANDS","BARSTOW","CA","198500","Prime Award","California"
"U.S. COMMITTEE FOR REFUGEES AND IMMIGRANTS, INC.","ARLINGTON","VA","8e+05","Prime Award","Virginia"
"U.S. COMMITTEE FOR REFUGEES AND IMMIGRANTS, INC.","ARLINGTON","VA","8e+05","Prime Award","Virginia"
"UCAN","CHICAGO","IL","2e+05","Prime Award","Illinois"
"UJIMA THE NATIONAL CENTER ON VIOLENCE AGAINST WOMEN IN THE BLACK COMMUNITY","WASHINGTON","DC","5e+06","Prime Award","District of Columbia"
"UNITY HOUSE OF TROY, INC.","TROY","NY","997351","Prime Award","New York"
"UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK","NEW YORK","NY","4e+05","Prime Award","New York"
"URBAN ALCHEMY","SAN FRANCISCO","CA","2e+06","Prime Award","California"
"URBAN LEAGUE OF BROWARD COUNTY, INCORPORATED","FORT LAUDERDALE","FL","4e+05","Prime Award","Florida"
"UTEC INC","LOWELL","MA","1100000","Prime Award","Massachusetts"
"UTEC INC","LOWELL","MA","8e+05","Prime Award","Massachusetts"
"VILLAGE OF ARTS AND HUMANITIES INC","PHILADELPHIA","PA","1e+06","Prime Award","Pennsylvania"
"VOCES UNIDAS FOR JUSTICE","COLORADO SPRINGS","CO","4e+05","Prime Award","Colorado"
"WASHINGTON STATE DEPARTMENT OF CORRECTIONS","OLYMPIA","WA","250000","Prime Award","Washington"
"WEST CENTRAL MENTAL HEALTH CENTER INC","CANON CITY","CO","550000","Prime Award","Colorado"
"WESTED","SAN FRANCISCO","CA","2e+06","Prime Award","California"
"WESTED","SAN FRANCISCO","CA","2e+06","Prime Award","California"
"WORKSHOP HOUSTON","HOUSTON","TX","50000","Prime Award","Texas"
"YOUTH ALIVE","OAKLAND","CA","2e+06","Prime Award","California"
"YOUTH ARTS UNLOCKED","FLINT","MI","50000","Prime Award","Michigan"
